Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
4CL1	NIL			4 coumarate:CoA ligase
F3'HIIb				flavonoid 3'-monooxygenase
Acl	NIL			a soluble [acyl-carrier protein]
SDR				3-oxosteroid reductase
UGT76E2	AT5G59590	24026209	24027875	UDP-glycosyltransferase
AT1G18640	AT1G18640	6416349	6418682	phosphoserine phosphatase
SOX	AT3G01910	314701	317438	sulfite oxidase
ATPvA3		441145	451819	115936
CSD1	AT1G08830	2827064	2829318	copper, zinc superoxide dismutase
NTRC	AT2G41680			NTRC subunit
CYP71BE54				(-)-deoxypodophyllotoxin oxidative demethylase
PKS	NIL			gingerol synthase
CDS1	AT1G62430	23109606	23113141	phosphatidate cytidylyltransferase
AT5G66170	AT5G66170			thiosulfate sulfurtransferase
DES	NIL			&Delta;5 acyl-CoA desaturase
AT1G14290	AT1G14290	4880046	4881955	sphinganine 4-hydroxylase
AT4G33670	AT4G33670	16169528	16171564	L-galactose dehydrogenase
SKOR	AT3G02850			stelar K+ outward rectifying channel
oomt3	NIL			orcinol O-methyltransferase
AT3G06350	AT3G06350	1924316	1927765	3-dehydroquinate dehydratase//shikimate 5-dehydrogenase
6DCS_SOYBN	NIL			chalcone reductase
MKS1	NIL			3-oxoacid decarboxylase / 3-ketoacid decarboxylase
Soltu.DM.07G021380	Soltu.DM.07G021380			Soltu.DM.07G021380.1
Soltu.DM.10G006250	Soltu.DM.10G006250			Soltu.DM.10G006250.1
At1g03495	NIL			anthocyanin acyltransferase
GPAT1	AT1G06520	1993977	1996111	glycerol-3-phosphate O-oleoyltransferase [multifunctional]
AT1G80330	AT1G80330	30202953	30204429	gibberellin 3-beta-dioxygenase
Zm00001d034385	Zm00001d034385	291510737	291518900	Zm00001d034385_T001.1
4HBS	NIL			4-hydrobenzaldehyde synthase
AT4G04640	AT4G04640			ATP synthase gamma chain 1
TAT	NIL			taxa-4(20), 11(12)-dien-5alpha-ol-O-acetyl transferase
ICS2	AT1G18870	6515657	6519273	isochorismate synthase
CMO	NIL			peroxisomal choline monooxygenase
T6ODM	NIL			thebaine 6-<i>O</i>-demethylase
AT3G49110	AT3G49110	18211649	18214127	peroxidase
FS				ferruginol synthase
SBS	NIL			santalene and bergamontene synthase
SDH2-1	AT3G27380	10132197	10133997	succinate dehydrogenase
AT3G53580	AT3G53580	19875742	19878112	diaminopimelate epimerase
AT2G41530	AT2G41530	17330573	17332689	S-formylglutathione hydrolase//hydrolase, acting on ester bonds
CBTS-3				cembratrienol synthase
GSTU19	AT1G78380	29491306	29492799	glutathione transferase
AT3G25860	AT3G25860	9461797	9464024	dihydrolipoyllysine-residue acetyltransferase
PPDES5	NIL			&Delta;5 desaturase
UGE1	AT1G12780	4355924	4358326	UDP-glucose 4-epimerase subunit
Glyma.14G192800	Glyma.14G192800			Glyma.14G192800
AT3G11430	AT3G11430	3595771	3597958	glycerol-3-phosphate O-acyltransferase
AY061888	NIL			Cinnamoyl CoA-reductase
ATP4		56088	57488	185200
AIMT1	NIL			SAM:t-anol/isoeugenol O-methyltransferase
AT2G22240	AT2G22240	9458685	9461174	inositol-3-phosphate synthase
MAX4	AT4G32810	15828232	15831489	oxidoreductase, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
NCED2	AT4G18350	10142661	10144456	9-cis-epoxycarotenoid dioxygenase
AT4G26900	AT4G26900	13515484	13519861	imidazoleglycerol phosphate synthase
PsaF				Photosystem I reaction center subunit III
MTPSL22	NIL			(3S)-nerolidol synthase / (+)-linalool synthase
GLS	NIL			glutinol synthase
AT4G37640	AT4G37640	17682971	17686935	calcium-transporting ATPase
A3GT	NIL			anthocyanidin 3-<i>O</i>-glucosyltransferase
CAT1	AT1G20630	7146626	7149967	catalase 1 subunit
AT5G09640	AT5G09640	2988315	2991157	sinapoylglucose:choline-O-sinapoyltransferase//serine carboxypeptidase
Seita.9G405400	Seita.9G405400			Seita.9G405400.1.p
PSAN		1259097	1261175	186531
Keto1	NIL			beta-carotene 4-hydroxylase [multifunctional]
g-lim1	NIL			limonene synthase
AT1G49660	AT1G49660			carboxylesterase
AT4G37270	AT4G37270	17540484	17546478	copper-exporting ATPase//calcium-transporting ATPase
GEPKR-1	NIL			chalcone reductase
PsbE	ATCG00580	64071	64322	cytochrome b-559 a-subunit
CYP86A8	AT2G45970	18919333	18921812	fatty acid &omega;-hydroxylase
CrACR2.1				arsenate reductase
NAD9	ATMG00070	23663	24235	NADH-ubiquinone oxidoreductase 27kDa subunit
MKS2	NIL			3-oxoacyl-CoA hydrolase
ACLA-1	AT1G10670	3535388	3538282	ATP-citrate lyase subunit//ATP citrate synthase
Soltu.DM.09G025370	Soltu.DM.09G025370			Soltu.DM.09G025370.1 // Soltu.DM.09G025370.2 // Soltu.DM.09G025370.3
AL10	NIL			(11Z,14Z,17Z)-icosa-11,14,17-trienoyl-CoA Delta5 desaturase [multifunctional]
SPP1	Os01g0376700			sucrose-6F-phosphate phosphohydrolase
FUT12	AT1G49710	18395006	18397596	glycoprotein 3-&alpha;-<small>L</small>-fucosyltransferase FUT12
Glyma.03G187000	Glyma.03G187000			Glyma.03G187000
AT1G51440	AT1G51440	19074585	19076362	triacylglycerol lipase
RG	NIL			raucaffricine glucosidase
D4H	NIL			desacetoxyvindoline 4-hydroxylase
AT1G68890	AT1G68890	25900608	25910373	PHYLLO [multifunctional]
FaOMT	NIL			furaneol <i>O</i>-methyltransferase monomer
G6PD1	AT5G35790	13973920	13976975	glucose-6-phosphate 1-dehydrogenase
PPOX3	NIL			pyridoxine/pyridoxamine 5'-phosphate oxidase
At1g03940	NIL			anthocyanin acyltransferase
ATPvA2	Cre09.g402500	635885	640474	438
SE	NIL			squalene epoxidase
DFA	AT5G41480	16613155	16615864	dihydrofolate synthetase
AT3G13790	AT3G13790	4532918	4535874	beta-fructofuranosidase//hydrolase, hydrolyzing O-glycosyl compounds
NUDT10	AT4G25434	13003986	13005873	catalytic
Lj1g0021530	Lj1g0021530			Lj1g0021530.1
AT3G63250	AT3G63250	23381283	23383657	homocysteine S-methyltransferase
hgshs	NIL			homoglutathione synthetase
Lj1g0001290	Lj1g0001290			Lj1g0001290.1
GGT1	NIL			ajugose synthase / verbascose synthase / stachyose synthase
CYP707A2	AT2G29090			abscisic acid 9'-hydroxylase / abscisic acid 8'-hydroxylase
AT2G15230	AT2G15230			triacylglycerol lipase
LOX5	AT3G22400	7926886	7931358	lipoxygenase
AO1	NIL			aldehyde oxidase
APS2	AT1G19920	6914604	6916796	APS2
Soltu.DM.07G001250	Soltu.DM.07G001250			Soltu.DM.07G001250.1 // Soltu.DM.07G001250.2
AT1G11790	AT1G11790	3981247	3985214	arogenate dehydratase////prephenate dehydratase
GPDHp	AT5G40610	16282090	16284582	glycerol-3-phosphate dehydrogenase (NAD+)
IBR1	AT4G05530	2816389	2818362	3-hydroxyacyl-CoA dehydrogenase
ATAAPT2	AT3G25585	9296546	9299983	aminoalcoholphosphotransferase
IpeOMT1				cephaeline 6'-O-methyltransferase / deacetylisoipecoside 6-O-methyltransferase
atpB		160165	161640	ChreCp058
EAH	NIL			3-deoxycapsidiol hydroxylase [multifunctional]
Soltu.DM.07G021360	Soltu.DM.07G021360			Soltu.DM.07G021360.1
AtPLA IVA	AT4G37070	17464779	17467103	AtPLA IVA
XT2	AT4G02500	1101507	1103610	xyloglucan 6-xylosyltransferase
OsHPL1	NIL			9/13-hydroperoxide lyase
rbcS2B	AT5G38420	15398175	15399260	RUBISCO small subunit
UGT71B1	AT3G21750	7664352	7666202	UDP-glycosyltransferase
GAS	NIL			germacrene A synthase
AT1G49820	AT1G49820	18446558	18448766	S-methyl-5-thioribose kinase
GAME4				22-hydroxycholesterol 26-oxidase
HPR2	AT1G79870	30049639	30050920	glyoxylate reductase (NADP+) [multifunctional]
ATPvD2		1025590	1027396	191863
UGT73B1	AT4G34138	16348110	16349986	abscisic acid glucosyltransferase
LjContig00081g0028042	LjContig00081g0028042			LjContig00081g0028042.1
Cre10.g453600	Cre10.g453600	1264336	1267574	182572
AT4G13770	AT4G13770	7990481	7992305	CYP83A1
AT3G25770	AT3G25770	9408110	9409192	allene-oxide cyclase
IGS1	NIL			isoeugenol synthase
PCS1	NIL			phytochelatin synthase
AT1G49140	AT1G49140	18180440	18181966	NADH-ubiquinone oxidoreductase PDSW subunit
TPS-Car	NIL			3-carene synthase
AMY2	NIL			AMY2
CDS4	AT2G45150	18620380	18622792	phosphatidate cytidylyltransferase
N7OMT	NIL			norreticuline 7-O-methyltransferase
GGPS2	AT2G23800	10138569	10139859	geranylgeranyl pyrophosphate synthase
PdUGT94AF1				PdUGT94AF1
EAS12	NIL			5-epi-aristolochene synthase
Pp-1				pterin-4alpha-carbinolamine dehydratase
CYP714B2				gibberellin C13 oxidase
RNR1	AT2G21790	9300435	9304922	ribonucleoside-diphosphate reductase large subunit
GLN1;2	AT1G66200	24658873	24661301	glutamate-ammonia ligase
mMDH2	AT3G15020	5056075	5058255	malate dehydrogenase
CiOMT1				cephaeline O-methyltransferase / 7'-O-demethylcephaeline 7'-O-methyltransferase
ME8	AT2G23600	10049279	10050753	methylesterase
ASAT3-P				sucrose acyltransferase
GSL1	NIL			callose synthase
GLN1;1	AT5G37600	14950566	14953071	glutamate-ammonia ligase
LePAR1	NIL			phenylacetaldehyde reductase
MDS				multiradiene synthase / ent-copalyl diphosphate synthase
SMT2-2	NIL			SMT2-2
<i>Togt</i>	NIL			scopoletin glucosyltransferase
LHCB7		843363	846622	Light-harvesting complex II protein Lhcb7
AT5G13640	AT5G13640	4393065	4397544	phospholipid:diacylglycerol acyltransferase
MAM3	AT5G23020	7718124	7721842	methylthioalkylmalate synthase
GAD	NIL			glutamate decarboxylase
GPPS.LSU	NIL			GPPS.LSU
CBTS-2b				cembratrienol synthase
SPSC	AT4G10120	6314783	6319932	sucrose-phosphate synthase
IAMT1	NIL			indole-3-acetate carboxyl methyltransferase
YS1				Fe(III)-PS transporter
Glyma.10G062200	Glyma.10G062200			Glyma.10G062200
AT1G44350	AT1G44350	16836650	16840726	IAA-amino acid conjugate hydrolase
AT3G48190.1	AT3G48190.1	17808319	17839576	1-phosphatidylinositol-3-phosphate 5-kinase
ppo	NIL			polyphenol oxidase
GapA-1	AT3G26650	9796308	9798282	glyceraldehyde-3-phosphate dehydrogenase
UGE4	AT1G64440	23940693	23943562	UDP-glucose 4-epimerase subunit//UDP-glucose 4-epimerase
AT5G58310	AT5G58310	23592218	23593310	methylesterase
Dnbglu2	NIL			7-<i>O-</i>-D-apiofuranosyl-(1-6)-&beta;-D-glucopyranosidase
RS	NIL			RS subunits
UGT73B3	AT4G34131			quercetin 3-O-glucosyltransferase
Glyma.03G187700	Glyma.03G187700			Glyma.03G187700
FUC1	AT2G28100	11981740	11983677	alpha-fucosidase
<i>MtBAN</i>	NIL			anthocyanidin reductase
Atbact-5	AT5G65780	26332616	26336038	branched-chain-amino-acid transaminase
petL		190315	190446	ChreCp068
EU4	NIL			urease
ATPC	NIL	1750538	1753988	134235
Glyma.03G032500	Glyma.03G032500			Glyma.03G032500
IDH-I	AT4G35260	16774200	16776330	NAD+-dependent isocitrate dehydrogenase regulatory subunit
ATPvH		2287054	2291305	129048
ApS1	AT5G48300	19587466	19590030	ADP-glucose pyrophosphorylase small subunit
MAM1	AT5G23010	7703095	7706894	MAM1
CYP98A36	NIL			p-coumaroyl ester 3'-hydroxylase
Seita.1G203600	Seita.1G203600			Seita.1G203600.1.p
ERG3				sterol C-5 desaturase
AT4G37390	AT4G37390	17579653	17582016	indole-3-acetic acid amido synthetase
ATCG00480	ATCG00480			ATP synthase subunit beta
Cre01.g044800	Cre01.g044800			Cre01.g044800.t1.2
AT1G54130	AT1G54130			GTP diphosphokinase
Glyma.06G206700	Glyma.06G206700			Glyma.06G206700
Zm00001d033180	Zm00001d033180	253162491	253166753	C-6 oxidase
UGT76E1	AT5G59580	24023305	24024915	UDP-glycosyltransferase
THT	NIL			tyramine N-hydroxycinnamoyltransferase
PDSTS2	NIL			subunit PDSTS2
cah1	Zm00001d044099	219075378	219082694	carbonate dehydratase
ASP1	AT2G30970	13185926	13189008	aspartate transaminase
NSH3	AT5G18860	6290678	6295813	purine nucleoside hydrolase
pGUT8	NIL			anthocyanidin 3-O-glucosyltransferase
STGLL	NIL			ADP-glucose pyrophosphorylase
SQE1	AT1G58440	21717507	21720955	squalene epoxidase / squalene monooxygenase
YUC2	AT4G13260			indole-3-pyruvate monooxygenase
AT3BETAHSD/D2	AT2G26260	11185178	11190054	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating)
PGI1	AT4G24620	12708762	12712835	glucose-6-phosphate isomerase
4RLS	NIL			(4R)-limonene synthase
PGA1				steroid 26-hydroxylase
ANMT	NIL			anthranilate N-methyltransferase
UGT71D1	AT2G29730	12710614	12712258	UDP-glycosyltransferase
AO2	NIL			aldehyde oxidase
AT1G06490	AT1G06490	1978761	1989045	callose synthase
Soltu.DM.10G003690	Soltu.DM.10G003690			Soltu.DM.10G003690.1 // Soltu.DM.10G003690.2
SDR2	AT2G24190	10290714	10292060	aldehyde reductase
PDAT1	Cre02.g106400			Cre02.g106400.t1.2
Glyma.12G038200	Glyma.12G038200			Glyma.12G038200
AT5G39990	AT5G39990			beta-glucuronosyltransferase 14A
TPS-LAS	NIL			levopimaradiene/abietadiene synthase
PETN	Cre16.g650100	690138	691730	177155
Glyma.07G254700	Glyma.07G254700			Glyma.07G254700
PNSeInt	NIL			selina-4,11-diene / intermedeol synthase
F1-OMT	NIL			flavonoid 7-<i>O</i>-methyltransferase
AT3G10160	AT3G10160	3139388	3144528	folylpolyglutamate synthetase
ACO1	AT4G35830	16972602	16978061	aconitase
Pavir.1KG341400	Pavir.1KG341400			Pavir.1KG341400.1.p
Zm00001d032049	Zm00001d032049	210749060	210752906	12-oxophytodienoate reductase
LjContig00155g0015949	LjContig00155g0015949			LjContig00155g0015949.1
Lis	NIL			linalool synthase
MGD2	AT5G20410	6896578	6898785	UDP-galactose:DAG galactosyltransferase
PAO3	AT3G59050	21835673	21838486	polyamine oxidase
CYP71D9	NIL			flavone-6-hydroxylase
PPY-AT	NIL			aromatic amino acid transaminase
MPAO				polyamine oxidase (propane-1,3-diamine forming)
Lj6g0022690	Lj6g0022690			Lj6g0022690.1
MOMT3	NIL			flavonol 3-<i>O</i>-methyltransferase
Peaxi162Scf01586g00007	Peaxi162Scf01586g00007			Peaxi162Scf01586g00007
AT3G44560	AT3G44560	16162123	16165384	fatty acyl-CoA reductase (alcohol-forming)
AT2G26670	AT2G26670	11348762	11350650	heme oxygenase (decyclizing)
LOC_Os05g28200.1	LOC_OS05G28200			bacteriochlorophyll synthase 34 kDa chain, putative, expressed
STS1	NIL			stachyose synthase / galactosylononitol synthase
Pavir.3KG443700	Pavir.3KG443700			Pavir.3KG443700.1.p
SGT1	NIL			sinapate-1-glucosyltransferase
AT3G57785	AT3G57785	21415551	21416194	NADH-ubiquinone oxidoreductase subunit
GPPS-lsu	NIL			geranyl pyrophosphate synthase, large subunit
UGT73G1	NIL			quercetin-<i>O</i>-glucosyltransferase
GA20ox1D	NIL			gibberellin 20-oxidase
AT5G17770	AT5G17770	5864253	5866708	cytochrome-b5 reductase
GPX6	AT4G11600	7009763	7011369	phospholipid-hydroperoxide glutathione peroxidase
AT3G03310	AT3G03310	778575	781587	phosphatidylcholine-sterol O-acyltransferase
SCPL2	NIL			anthocyanin 7-<i>O</i>-glucoside acyltransferase (acyl-glucose dependent)
NUOS5		1277856	1278521	135635
P5C1	AT5G14800	4785965	4787842	pyrroline-5-carboxylate reductase
FOMT1	NIL			flavonoid 7-<i>O</i>-methyltransferase
TPS-Cin	AT3G25820	9440484	9443410	1,8-cineole synthase
Glyma.12G163432	Glyma.12G163432			Glyma.12G163432
TPS-Lin	NIL			linalool synthase
ENO1	NIL			enolase
QCR10		149261	150250	184649
IDH-V	AT5G03290	793977	796181	NAD+-dependent isocitrate dehydrogenase catalytic subunit
LOX2	NIL			lipoxygenase
HPAT3	AT5G13500			hydroxyproline O-arabinosyltransferase 3
JN997447.1	NIL			Cynnamyl-alcohol dehydrogenase
HYDEF				Fe-hydrogenase assembly protein
FADX-2	NIL			(8,11)-linoleoyl desaturase
ATS1	AT1G32200	11601761	11605040	glycerol-3-phosphate O-acyltransferase
PAP1	NIL			purple acid phosphatase
AT5G57560	AT5G57560	23324356	23325508	hydrolase, acting on glycosyl bonds//xyloglucan:xyloglucosyl transferase
SFS1	NIL			10-formyl-THF synthetase subunit
SAP1	NIL			alkaline peroxidase / purple acid phosphatase
GapCp-2	AT1G16300	5574304	5577616	glyceraldehyde-3-phosphate dehydrogenase
AT5G16710	AT5G16710	5483291	5485084	glutathione dehydrogenase (ascorbate)
GRMZM2G043453_P01		3095645	3103371	magnesium chelatase
CYP734A1	AT2G26710	11387584	11390690	steroid hydroxylase
POPTR_0006s03180.1	POPTR_0006s03180.1			POPTR_0006s03180.1
UGT74H6	NIL			UDP-glucose: acyl glucosyltransferase
7-DR2	101256596			&Delta;5,7-sterol-&Delta;7 reductase 2
CrtL-e	NIL			lycopene &epsilon;-cyclase
CRTISO	NIL			carotenoid isomerase
AT4G26270	AT4G26270	13300804	13304356	6-phosphofructokinase
DUT1	AT3G46940	17299179	17299937	dUTP diphosphatase
AtSOT17	AT1G18590	6398572	6399934	desulfoglucosinolate sulfotransferase
Lj6g0001903	Lj6g0001903			Lj6g0001903.1
G6PD3	AT1G24280	8609434	8612569	glucose-6-phosphate 1-dehydrogenase
GA2ox3	AT2G34555	14564067	14565776	C19 gibberellin 2-oxidase
psaA				Photosystem I P700 chlorophyll a apoprotein A1
PLD zeta	AT3G16785	5711088	5719029	PLD zeta
Cre02.g105600	Cre02.g105600			Cre02.g105600.t1.1
SUS2	AT5G49190	19960508	19964415	sucrose synthase
petC		145796	148342	Cytochrome b<sub>6</sub>f complex iron-sulfur subunit
GAMT1	AT4G26420			gibberellin carboxyl methyltransferase
TPS6	AT1G68020	25500953	25504037	alpha,alpha-trehalose-phosphate synthase (UDP-forming) / trehalose-phosphatase
NAD5b	ATMG00665.1	190740	190761	NAD5c
SQS2	AT4G34650	16542382	16545126	squalene synthase
Soltu.DM.07G023120	Soltu.DM.07G023120			Soltu.DM.07G023120.1
CYP82D62	NIL			flavone-6-hydroxylase
OBT14DM				obtusifoliol-14alpha-demethylase
hbfd1				carotenoid 4-hydroxy-&beta;-ring 4-dehydrogenase
AT3G62830	AT3G62830			UDP-glucuronate decarboxylase
GGPS6	AT1G49530	18336097	18337357	geranylgeranyl pyrophosphate synthase//farnesyltranstransferase
AtATP-PRT1	AT1G58080	21507979	21511205	ATP-phosphoribosyl transferase
Lj1g0019313	Lj1g0019313			Lj1g0019313.1
PSAG		154510	156358	165416
Lj4g0013360	Lj4g0013360			Lj4g0013360.1
Lj5g0014981	Lj5g0014981			Lj5g0014981.1
VTC5	AT5G55120			GDP-L-galactose phosphorylase
C14-R	100750253			sterol C-14 reductase
SSy	NIL			santalene synthase
NUOP3		2181907	2183160	182226
Sc11	NIL			germacrene D synthase
naatB	NIL			nicotianamine transferase
AT4G09650	AT4G09650			ATP synthase subunit delta
FRE1		1563545	1571645	205609
ATCG00470	ATCG00470			ATP synthase epsilon chain
LOC_Os02g09490	LOC_Os02g09490			cinnamyl alcohol dehydrogenase, putative, expressed
AT1G35250	AT1G35250			acyl-lipid thioesterase 2
SMO3	104649012			sterol methyl oxidase 3
HMA5				copper-transporting ATPase
Cre07.g324200	Cre07.g324200	2789339	2795367	Cre07.g324200
AT3G48690	AT3G48690			carboxylesterase
OSCPNY1	NIL			beta-amyrin synthase
AT1G12050.1	AT1G12050.1	4072750	4076205	fumarylacetoacetase
MMT1	NIL			methionine <i>S</i>-methyltransferase subunit
HSP90C		222793	228381	154398
CPS1	NIL			ent-copalyl diphosphate synthase
Zm00001d046492	Zm00001d046492	92290431	92299586	heme oxygenase
IPT3	AT3G63110	23329051	23330515	adenylate dimethylallyltransferase
LjCHI1	NIL			chalcone isomerase
Glyma.07G183300	Glyma.07G183300			Glyma.07G183300
GGPS3	AT3G14550	4884573	4885989	geranylgeranyl pyrophosphate synthase
UGE2	AT4G23920	12431287	12433874	UDP-glucose 4-epimerase subunit
BPBT	NIL			benzoyl-CoA:benzyl alcohol/phenylethanol benzoyltransferase
AT4G22930	AT4G22930	12018895	12021602	dihydroorotase
AT3G13450	AT3G13450	4382205	4384443	branched-chain &alpha;-keto acid decarboxylase E1-&beta; subunit
AT2G04540	AT2G04540	1581413	1584685	fatty-acid synthase
Lj1g0005780	Lj1g0005780			Lj1g0005780.1
N8DT-1	NIL			naringenin 8-dimethylallyltransferase
PDC				pheophorbide demethoxycarbonylase
ARG2	NIL			arginase
PETM	Cre12.g546150	712724	713589	147968
AT3G56490	AT3G56490			adenylylsulfate sulfohydrolase
UGT71C2	AT2G29740	12713787	12715444	UDP-glycosyltransferase
DWF1	AT3G19820	6879623	6882321	isofucosterol isomerase [multifunctional]
CAMT_MEDSA	NIL			Caffeoyl coenzyme A O-methyltransferase
SAT2	AT2G17640	7675160	7677577	serine O-acetyltransferase
SDH6	AT1G08480.1	2684237	2685624	complex II subunit 6
UGT74F1	AT2G43840	18164715	18166308	salicylic acid / benzoic acid glucosyltransferase
SSy	NIL			santalene synthase
Glyma.03G134500	Glyma.03G134500			Glyma.03G134500
UGT74S1	NIL			(+)-secoisolariciresinol glucosyltransferase
AT1G59500	AT1G59500	21858158	21860279	indole-3-acetic acid amido synthetase
HSS1	NIL			homospermidine synthase
NCED9	AT1G78390	29495788	29497768	9-cis-epoxycarotenoid dioxygenase
LHCA1		548816	550929	184471
PDS1	AT1G06570	2011884	2013544	4-hydroxyphenylpyruvate dioxygenase
AT1G43710	AT1G43710	16488760	16490824	serine carboxylyase subunit
MEX1	NIL	1570295	1573645	205893
REF8	AT2G40890	17065131	17067730	coumarate 3-hydroxylase / p-coumaroyl shikimate/quinate 3'-hydroxylase
g1866.t1	g1866.t1			Cre11.g472150.t1.1
AT2G39930	AT2G39930	16673101	16679572	isoamylase
PLD gamma	AT4G11850	7129117	7133194	PLD gamma
KAS III	NIL			&beta;-ketoacyl-acyl carrier protein synthase III
VS	NIL			vinorine synthase
AT1G02280	AT1G02280	448465	450425	GTPase
oasC	AT3G59760	22082925	22086393	cysteine synthase
Cre03.g188800	Cre03.g188800			Cre03.g188800.t1.2
BEBT	NIL			benzoyl-coenzyme A:benzyl alcohol benzoyltransferase
Pavir.7KG337500	Pavir.7KG337500			Pavir.7KG337500.1.p
CaUGT2	NIL			UDPG:glucosyltransferase
UGT76C2	AT5G05860	1765508	1767456	UDP-glycosyltransferase
CYP71CU1				bursehernin 5'-hydroxylase
AT5G04360	AT5G04360	1221531	1228612	alpha-amylase//limit dextrinase
AT4G13430	AT4G13430			Isopropylmalate isomerase, large subunit
GLX2-5	AT2G31350	13375369	13378134	hydroxyacylglutathione hydrolase
CYP51				sterol C-14 demethylase
PTR1	NIL			pterocarpan reductase
IpeOMT2				7'-O-demethylcephaeline 7'-O-methyltransferase
CPC1	Cre03.g183200	240197	247663	24512
ATP6		1110852	1114350	136578
Lj3g0006457	Lj3g0006457			Lj3g0006457.1
AT1G35720	AT1G35720	13226409	13228407	peroxidase
AT1G76150	AT1G76150	28579634	28582594	enoyl-CoA hydratase 2
ADCS	AT2G28880	12405822	12410605	aminodeoxychorismate synthase
Soltu.DM.07G021390	Soltu.DM.07G021390			Soltu.DM.07G021390.1
Chit1	NIL			acidic endochitinase
Zm00001d018386	Zm00001d018386	219773951	219778845	aspartate transaminase
MCT	AT2G02500	670877	673154	4-diphosphocytidyl-2C-methyl-D-erythritol synthase//2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
KS11				stemod-13(17)-ene synthase
KCO1	AT5G55630			calcium-activated outward-rectifying potassium channel
psbD		174574	175632	Photosystem II D2 protein
fad4	AT4G27030			palmitate desaturase
USP	NIL			UDP-D-xylose pyrophosphorylase [multifunctional]
ARGAH1	AT4G08900	5703344	5705343	arginase
AO3	NIL			aldehyde oxidase
LOC_Os11g28530.1		15934164	15940392	stemar-13-ene synthase
SQE3	AT4G37760	17743881	17746672	squalene epoxidase
Peaxi162Scf00363g00003	Peaxi162Scf00363g00003			Peaxi162Scf00363g00003
Lj1g0021979	Lj1g0021979			Lj1g0021979.1
AfFADX	NIL			Delta12 fatty acid conjugase
ALDH2C4	AT3G24503	8919567	8923080	hydroxycinnamaldehyde dehydrogenase
FTR1	Cre03.g192050.t1.1	35653	39608	137142
COXVb	AT3G15640	5299117	5301752	complex IV subunit 5b
CYP736A107				3-hydroxy-5-methoxybiphenyl 4-hydroxylase
ASAT2				sucrose 4-isovalerate-3-<i>O</i>-acyltransferase
AT3G27060	AT3G27060	9981103	9982532	TSO2 subunit
LigB				extradiol ring-cleavage dioxygenase
AT2G30550	AT2G30550	13021925	13024230	triacylglycerol lipase
AtBSMT1	AT3G11480	3614443	3617320	AtBSMT1 subunit
SBEII	NIL			starch branching enzyme II
Lj3g0015275	Lj3g0015275			Lj3g0015275.1
HM584929	NIL			16-methoxy-2,3-dihydro-3-hydroxy-tabersonine-N-methyltransferase
ZOG1	NIL			zeatin-<i>O</i>-glucosyltransferase
AT3G03780	AT3G03780	957093	960987	methionine synthase
AT3G26690	AT3G26690	9805490	9806952	bis(5'-adenosyl)-pentaphosphatase
TPS10	AT2G24210	10301410	10304610	myrcene synthase//(E)-beta-ocimene synthase
AT1G61120	AT1G61120	22527302	22532476	g(E,E)-geranyllinalool synthase
rbcS1B	AT5G38430	15401347	15402477	RUBISCO small subunit
AT5G23070	AT5G23070	7741906	7742981	thymidine kinase
CDS3	AT4G26770	13482082	13484846	phosphatidate cytidylyltransferase
ZDS				&zeta;-carotene desaturase
SDH7A	AT3G47833.1	17659608	17661125	complex II subunit 7
CYP85A3	NIL			brassinolide synthase
UGT74D1	AT2G31750			auxin glycosyltransferase
CYP51G1	AT1G11680	3938501	3940754	obtusifoliol 14alpha-demethylase
GAO1	NIL			germacrene A oxidase
UBA1				ubiquitin-activating enzyme
TYDC1	NIL			dopa decarboxylase / tyrosine decarboxylase
ACK1	Cre09.g396700.t1.1			acetate kinase
NUOA1		2120972	2123348	77311
HNL	NIL			(S)-hydroxynitrile lyase
AT3G49120	AT3G49120	18218636	18221117	peroxidase
MSD1	AT3G10920	3417959	3419858	manganese superoxide dismutase
Soltu.DM.10G003670	Soltu.DM.10G003670			Soltu.DM.10G003670.1
CYP71D12	NIL			tabersonine 16-hydroxylase
TGG1	AT5G26000	9079508	9082387	myrosinase / thioglucosidase
zss2	NIL			&beta;-eudesmol synthase
HMA8	NIL			copper P1B-ATPase
AT5G62180	AT5G62180			carboxylesterase
PAH				phenylalanine hydroxylase
DFR	NIL			dihydroflavonol-4-reductase
gbsA	NIL			betaine aldehyde dehydrogenase
AOAT4	AT1G17290	5922623	5926393	alanine transaminase
GNTI	AT4G38240			&alpha;-1,3-mannosyl-glycoprotein 2-&beta;-<em>N</em>-acetylglucosaminyltransferase
AT5G17330	AT5G17330	5711014	5715077	glutamate decarboxylase
AT1G55120	AT1G55120	20570265	20572953	levanase//hydrolase, hydrolyzing O-glycosyl compounds
CS	NIL			citrate synthase (mitochondrial)
MDL1	NIL			mandelonitrile lyase
CYP716A17	NIL			oleanolic aldehyde 28-monooxygenase [multifunctional]
P5CS	NIL			&delta;1-pyrroline-5-carboxylate synthetase
HCEF1	AT3G54050			fructose 1,6-bisphosphatase
C2	NIL			delta-guaiene synthase
Zm00001d032046	Zm00001d032046	210548810	210553536	Zm00001d032046_T002.1
CYP82G1	AT3G25180			TMTT synthase / DMNT synthase
BGD4	NIL			lotaustralin beta-glucosidase
OMT2	NIL			orcinol O-methyltransferase
